Application,MinHops,MeanMinHops,StdMinHops,MeanTime,BestAllocations
App0,23.0,26.83,1.9852203907878843,0.0005711388587951661,"[(0, 16), (1, 9), (2, 9), (3, 9), (4, 23), (5, 24), (6, 45), (7, 47), (8, 30), (9, 17), (10, 26), (11, 26), (12, 1), (13, 13), (14, 13), (15, 13), (16, 8), (17, 8), (18, 11), (19, 11), (20, 20), (21, 27), (22, 43), (23, 43), (24, 22)]"
App1,19.0,22.91,2.6080452450063056,0.000555100440979004,"[(0, 17), (1, 17), (2, 24), (3, 24), (4, 24), (5, 23), (6, 9), (7, 9), (8, 9), (9, 19), (10, 19), (11, 16), (12, 18), (13, 49), (14, 1), (15, 47), (16, 45), (17, 24), (18, 13), (19, 13), (20, 8), (21, 8), (22, 8), (23, 11), (24, 11), (25, 3), (26, 3), (27, 20)]"
App2,25.0,28.09,1.588049117628293,0.0005692529678344726,"[(0, 44), (1, 10), (2, 14), (3, 12), (4, 28), (5, 23), (6, 9), (7, 9), (8, 16), (9, 9), (10, 19), (11, 13), (12, 13), (13, 13), (14, 8), (15, 11), (16, 8), (17, 3), (18, 20), (19, 43), (20, 27), (21, 15), (22, 7), (23, 22)]"
App3,20.0,29.25,3.453621287865825,0.0005974388122558594,"[(0, 9), (1, 9), (2, 19), (3, 16), (4, 28), (5, 23), (6, 24), (7, 24), (8, 17), (9, 26), (10, 1), (11, 47), (12, 47), (13, 45), (14, 13), (15, 13), (16, 13), (17, 13), (18, 8), (19, 8), (20, 11), (21, 11), (22, 3), (23, 20), (24, 43), (25, 43)]"
App4,2.0,4.88,1.4985326155943353,0.00024364233016967773,"[(0, 13), (1, 13), (2, 13), (3, 13), (4, 8), (5, 8), (6, 11)]"
App5,25.0,28.27,2.1016897963305623,0.0006499385833740234,"[(0, 23), (1, 9), (2, 9), (3, 9), (4, 16), (5, 19), (6, 44), (7, 22), (8, 5), (9, 21), (10, 5), (11, 10), (12, 14), (13, 12), (14, 29), (15, 46), (16, 42), (17, 42), (18, 24), (19, 24), (20, 17), (21, 45), (22, 47), (23, 1), (24, 13), (25, 13)]"
App6,5.0,7.52,1.7174399552822803,0.0004831075668334961,"[(0, 43), (1, 20), (2, 3), (3, 11), (4, 11), (5, 8), (6, 13), (7, 13)]"
App7,16.0,19.28,2.2184679398179274,0.0005067801475524903,"[(0, 7), (1, 22), (2, 4), (3, 5), (4, 21), (5, 27), (6, 20), (7, 20), (8, 43), (9, 3), (10, 11), (11, 11), (12, 8), (13, 13), (14, 13), (15, 49), (16, 1), (17, 47)]"
App8,19.0,23.14,1.4901006677402704,0.0006143450736999512,"[(0, 47), (1, 1), (2, 49), (3, 13), (4, 13), (5, 13), (6, 13), (7, 8), (8, 8), (9, 2), (10, 11), (11, 3), (12, 20), (13, 22), (14, 5), (15, 19), (16, 19), (17, 9), (18, 9), (19, 23), (20, 24)]"
App9,17.0,24.41,3.501699587343266,0.0005710482597351074,"[(0, 32), (1, 31), (2, 11), (3, 11), (4, 8), (5, 13), (6, 1), (7, 47), (8, 45), (9, 24), (10, 17), (11, 17), (12, 23), (13, 23), (14, 9), (15, 9), (16, 9), (17, 9), (18, 16), (19, 19), (20, 19), (21, 44), (22, 4)]"
App10,19.0,24.79,3.374299927392347,0.0005053377151489258,"[(0, 26), (1, 30), (2, 17), (3, 24), (4, 42), (5, 23), (6, 9), (7, 9), (8, 19), (9, 19), (10, 44), (11, 22), (12, 5), (13, 21), (14, 21), (15, 5), (16, 13), (17, 13), (18, 8), (19, 8), (20, 2), (21, 37), (22, 37)]"
App11,2.0,4.77,1.3103816238027761,0.0001991415023803711,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 11)]"
App12,13.0,16.22,2.1051365751418603,0.00040444612503051755,"[(0, 20), (1, 43), (2, 3), (3, 3), (4, 11), (5, 11), (6, 11), (7, 8), (8, 13), (9, 13), (10, 1), (11, 47), (12, 24), (13, 17), (14, 26)]"
App13,19.0,22.5,2.8053520278211077,0.0005539417266845703,"[(0, 39), (1, 22), (2, 4), (3, 5), (4, 5), (5, 5), (6, 13), (7, 13), (8, 8), (9, 8), (10, 8), (11, 2), (12, 37), (13, 1), (14, 47), (15, 45), (16, 24), (17, 17), (18, 23), (19, 9), (20, 9), (21, 19)]"
App14,36.0,39.80701754385965,1.3170753950262077,0.000618743896484375,"[(0, 19), (1, 16), (2, 9), (3, 9), (4, 9), (5, 9), (6, 24), (7, 17), (8, 23), (9, 29), (10, 22), (11, 5), (12, 13), (13, 13), (14, 13), (15, 8), (16, 11), (17, 35), (18, 5), (19, 21), (20, 27), (21, 43), (22, 43), (23, 3), (24, 20), (25, 37), (26, 45), (27, 47), (28, 47)]"
App15,13.0,16.38,1.9737274381231062,0.00036279678344726564,"[(0, 42), (1, 9), (2, 16), (3, 19), (4, 19), (5, 25), (6, 5), (7, 22), (8, 4), (9, 35), (10, 13), (11, 13), (12, 13), (13, 8), (14, 8)]"
App16,13.0,17.46,1.7856091397615548,0.0003853416442871094,"[(0, 13), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 21), (9, 22), (10, 39), (11, 22), (12, 4), (13, 5), (14, 5), (15, 10)]"
App17,19.0,22.04,2.618854711510358,0.0004621076583862305,"[(0, 7), (1, 15), (2, 27), (3, 20), (4, 3), (5, 11), (6, 11), (7, 11), (8, 8), (9, 13), (10, 13), (11, 13), (12, 37), (13, 1), (14, 47), (15, 47), (16, 45), (17, 24), (18, 17), (19, 23), (20, 9), (21, 9), (22, 9)]"
App18,12.0,16.61,2.992975108483196,0.00037844657897949217,"[(0, 20), (1, 20), (2, 11), (3, 8), (4, 8), (5, 13), (6, 25), (7, 13), (8, 13), (9, 11), (10, 3), (11, 43), (12, 43), (13, 27), (14, 21), (15, 21), (16, 5)]"
App19,10.0,14.24,2.4864432428672085,0.000319371223449707,"[(0, 49), (1, 13), (2, 13), (3, 8), (4, 11), (5, 3), (6, 20), (7, 43), (8, 43), (9, 21), (10, 22), (11, 7)]"
